"Notes","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"2012","2012","Jan., 2012","2012/01",225368,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2012","2012","Feb., 2012","2012/02",208962,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2012","2012","Mar., 2012","2012/03",221438,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2012","2012","Apr., 2012","2012/04",208145,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2012","2012","May, 2012","2012/05",207931,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2012","2012","Jun., 2012","2012/06",198869,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2012","2012","Jul., 2012","2012/07",203929,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2012","2012","Aug., 2012","2012/08",204648,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2012","2012","Sep., 2012","2012/09",200852,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2012","2012","Oct., 2012","2012/10",213558,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2012","2012","Nov., 2012","2012/11",214201,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2012","2012","Dec., 2012","2012/12",235378,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","2012","2012",,,2543279,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.5%
,"2013","2013","Jan., 2013","2013/01",261089,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.5%
,"2013","2013","Feb., 2013","2013/02",217614,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2013","2013","Mar., 2013","2013/03",232871,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2013","2013","Apr., 2013","2013/04",213789,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2013","2013","May, 2013","2013/05",210076,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2013","2013","Jun., 2013","2013/06",200010,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2013","2013","Jul., 2013","2013/07",204505,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2013","2013","Aug., 2013","2013/08",204585,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2013","2013","Sep., 2013","2013/09",198780,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2013","2013","Oct., 2013","2013/10",211702,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2013","2013","Nov., 2013","2013/11",211850,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2013","2013","Dec., 2013","2013/12",230122,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","2013","2013",,,2596993,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.6%
,"2014","2014","Jan., 2014","2014/01",243298,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2014","2014","Feb., 2014","2014/02",211980,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2014","2014","Mar., 2014","2014/03",228477,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2014","2014","Apr., 2014","2014/04",215600,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2014","2014","May, 2014","2014/05",216862,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2014","2014","Jun., 2014","2014/06",204687,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2014","2014","Jul., 2014","2014/07",209373,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2014","2014","Aug., 2014","2014/08",208013,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2014","2014","Sep., 2014","2014/09",205274,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2014","2014","Oct., 2014","2014/10",218147,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2014","2014","Nov., 2014","2014/11",221317,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2014","2014","Dec., 2014","2014/12",243390,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","2014","2014",,,2626418,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.6%
,"2015","2015","Jan., 2015","2015/01",265355,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.5%
